f1_score : 0.8669527173042297
acc : 0.9441920518875122

class              precision    recall  f1-score   support

          DT       0.76      0.84      0.80      1292
          LC       0.54      0.69      0.61      1096
          OG       0.50      0.60      0.55      1311
          PS       0.68      0.76      0.72      2526
          QT       0.87      0.91      0.89      1671
          TI       0.84      0.90      0.87       332

   micro avg       0.68      0.77      0.73      8228
   macro avg       0.70      0.78      0.74      8228
weighted avg       0.69      0.77      0.73      8228
